rnc,razonSocial,nombreComercial,tipoContribuyente,categoriaContribuyente,regimenTributario,actividadEconomica,estadoRNC,estadoCumplimiento,obligacionesActivas,domicilioFiscal,provincia,municipio,concepto,numeroReferencia,fechaEmision,fechaVencimiento,individualId
131000001,Ferretería El Yunque SRL,Ferre El Yunque,PERSONA_JURIDICA,MIPYME,ORDINARIO,Venta al por menor de artículos de ferretería,ACTIVO,AL_DIA,ISR;ITBIS,Calle Duarte 45,Distrito Nacional,Santo Domingo de Guzmán,Certificación de Cumplimiento de Obligaciones Fiscales,CERT-OFV-2026-000001,2026-07-15,2026-10-13,131000001
131000002,Distribuidora Los Almendros SAS,Almendros Distribución,PERSONA_JURIDICA,NORMAL,ORDINARIO,Venta al por mayor de alimentos,ACTIVO,EN_MORA,ISR;ITBIS;RETENCIONES,Av. 27 de Febrero 210,Santiago,Santiago de los Caballeros,Certificación de Cumplimiento de Obligaciones Fiscales,CERT-OFV-2026-000002,2026-07-15,2026-10-13,131000002
131000003,Panadería La Espiga Dorada SRL,La Espiga Dorada,PERSONA_JURIDICA,MIPYME,RST,Elaboración de productos de panadería,ACTIVO,AL_DIA,RST,Calle Sánchez 12,La Vega,Concepción de La Vega,Certificación de Cumplimiento de Obligaciones Fiscales,CERT-OFV-2026-000003,2026-07-15,2026-10-13,131000003
131000004,Consultores Fiscales Andrade & Asociados SRL,Andrade Asociados,PERSONA_JURIDICA,NORMAL,ORDINARIO,Actividades de contabilidad y auditoría,ACTIVO,AL_DIA,ISR;ITBIS,Av. Winston Churchill 1550,Distrito Nacional,Santo Domingo de Guzmán,Certificación de Cumplimiento de Obligaciones Fiscales,CERT-OFV-2026-000004,2026-07-15,2026-10-13,131000004
131000005,Transporte y Logística del Cibao SAS,TransCibao,PERSONA_JURIDICA,GRAN_CONTRIBUYENTE,ORDINARIO,Transporte de carga por carretera,ACTIVO,EN_MORA,ISR;ITBIS;RETENCIONES;ISC,Autopista Duarte Km 8,Santiago,Santiago de los Caballeros,Certificación de Cumplimiento de Obligaciones Fiscales,CERT-OFV-2026-000005,2026-07-15,2026-10-13,131000005
131000006,Farmacia San Rafael SRL,Farmacia San Rafael,PERSONA_JURIDICA,MIPYME,ORDINARIO,Venta al por menor de productos farmacéuticos,ACTIVO,EN_MORA,ISR;ITBIS,Calle Mella 78,San Cristóbal,San Cristóbal,Certificación de Cumplimiento de Obligaciones Fiscales,CERT-OFV-2026-000006,2026-07-15,2026-10-13,131000006
131000007,Textiles del Este SAS,TexEste,PERSONA_JURIDICA,NORMAL,ORDINARIO,Fabricación de prendas de vestir,ACTIVO,AL_DIA,ISR;ITBIS;RETENCIONES,"Zona Franca Industrial, Nave 12",La Romana,La Romana,Certificación de Cumplimiento de Obligaciones Fiscales,CERT-OFV-2026-000007,2026-07-15,2026-10-13,131000007
131000008,Agropecuaria Valle Verde SRL,Valle Verde,PERSONA_JURIDICA,MIPYME,RST,Cultivo de arroz,ACTIVO,AL_DIA,RST,Sección Los Llanos s/n,Duarte,San Francisco de Macorís,Certificación de Cumplimiento de Obligaciones Fiscales,CERT-OFV-2026-000008,2026-07-15,2026-10-13,131000008
131000009,Constructora Peralta Hermanos SAS,Peralta Hermanos,PERSONA_JURIDICA,GRAN_CONTRIBUYENTE,ORDINARIO,Construcción de edificios,ACTIVO,EN_MORA,ISR;ITBIS;RETENCIONES,Av. Estrella Sadhalá 90,Santiago,Santiago de los Caballeros,Certificación de Cumplimiento de Obligaciones Fiscales,CERT-OFV-2026-000009,2026-07-15,2026-10-13,131000009
131000010,Servicios Tecnológicos Quisqueya SRL,TecnoQuisqueya,PERSONA_JURIDICA,NORMAL,ORDINARIO,Programación informática,ACTIVO,AL_DIA,ISR;ITBIS,Calle El Sol 33,Distrito Nacional,Santo Domingo de Guzmán,Certificación de Cumplimiento de Obligaciones Fiscales,CERT-OFV-2026-000010,2026-07-15,2026-10-13,131000010
